Pixels	Line 8	Line 7	Line 6	Line 5	Line 4	Line 3	Line 2	Line 1
330.000	540.494	120.827	28.276	50.795	89.265	137.263	119.452	103.859
331.000	202.491	91.190	45.246	15.925	113.927	337.638	125.108	98.520
332.000	165.865	176.983	32.366	24.702	47.880	359.253	236.346	246.846
333.000	162.403	284.414	92.392	64.626	94.820	222.318	259.747	73.939
334.000	126.623	219.592	80.987	94.538	126.189	223.903	342.443	103.761
335.000	153.788	201.120	160.319	13.343	184.376	133.223	159.221	163.388
336.000	237.683	346.742	37.732	4.611	172.898	239.323	622.596	84.055
337.000	190.987	288.662	86.551	41.435	134.563	103.074	302.431	55.077
338.000	162.280	164.872	115.997	259.747	310.541	44.149	539.148	103.270
339.000	41.559	90.730	263.963	174.042	254.485	87.632	135.685	117.038
340.000	49.904	114.030	191.654	33.250	122.103	100.252	26.063	88.447
341.000	72.042	320.310	295.755	78.232	224.915	123.387	133.112	281.816
342.000	59.235	347.102	296.253	38.029	345.127	27.259	233.388	517.192
343.000	236.791	242.619	454.679	90.914	352.517	361.635	153.071	188.594
344.000	160.319	117.352	788.413	37.319	203.179	176.469	133.446	218.022
345.000	275.373	148.921	824.588	41.249	72.782	62.777	221.742	304.617
346.000	174.424	111.876	468.571	14.679	113.721	48.752	268.530	462.533
347.000	474.859	121.146	209.695	66.659	235.605	19.155	144.827	278.263
348.000	498.274	319.102	136.586	134.227	181.375	57.320	207.465	187.799
349.000	205.662	388.925	22.044	107.730	39.897	33.809	304.785	466.484
350.000	119.452	177.754	99.096	124.461	20.574	80.207	175.190	373.103
351.000	171.252	110.655	47.148	135.460	89.813	92.950	96.519	304.449
352.000	207.465	125.108	86.641	109.137	155.468	377.777	81.596	154.987
353.000	75.105	213.063	158.734	57.832	158.856	141.020	212.219	498.921
354.000	27.310	208.579	98.712	153.788	258.659	137.829	276.014	124.031
355.000	125.000	178.269	101.124	171.000	277.620	130.563	236.643	183.199
356.000	147.863	137.829	141.479	192.724	222.174	231.329	340.303	208.579
357.000	96.140	126.949	111.163	74.854	155.348	130.232	134.899	54.008
358.000	49.022	146.108	60.956	56.882	133.892	240.519	353.423	84.587
359.000	282.140	111.061	163.759	49.700	268.688	200.164	293.106	99.288
360.000	211.797	171.884	31.928	40.755	285.555	368.457	272.020	94.444
361.000	56.591	166.238	97.755	188.726	199.754	324.817	91.929	104.154
362.000	88.447	90.363	80.467	163.882	112.285	146.808	188.196	333.571
363.000	86.820	145.408	91.375	180.336	132.111	160.441	105.340	389.687
364.000	27.918	287.188	82.032	95.668	169.740	160.686	114.546	25.281
365.000	30.473	121.890	153.549	250.346	192.055	177.368	398.307	169.614
366.000	74.438	292.115	322.733	53.090	205.801	143.206	352.879	161.789
367.000	32.806	210.255	313.951	423.938	179.043	108.433	215.890	134.227
368.000	37.614	182.416	104.746	317.553	207.744	106.034	221.742	230.010
369.000	42.309	329.179	45.506	91.652	116.830	50.451	172.898	371.055
370.000	64.239	91.098	323.427	24.320	78.402	31.873	239.024	294.760
371.000	145.176	98.904	203.867	175.318	100.736	43.003	41.996	291.950
372.000	139.648	351.792	292.115	119.874	70.738	99.866	292.610	280.522
373.000	93.696	402.362	44.599	89.083	77.041	171.126	250.804	139.534
374.000	84.764	302.431	53.654	47.613	105.935	243.220	271.225	280.198
375.000	313.609	180.466	73.607	149.392	156.433	56.809	540.269	123.601
376.000	295.092	194.605	45.702	34.429	182.938	57.393	190.853	356.514
377.000	407.996	258.504	118.190	55.077	196.900	34.599	272.657	307.149
378.000	252.948	317.037	70.576	21.325	423.342	203.454	443.025	471.710
379.000	101.318	168.485	19.708	38.447	351.068	114.030	114.546	179.818
380.000	206.910	115.063	173.533	127.930	423.342	162.034	109.945	481.189
381.000	162.280	200.710	23.658	98.137	403.912	303.439	179.430	372.544
382.000	141.020	154.627	23.191	207.604	237.089	47.347	104.056	277.137
