Pixels	Line 8	Line 7	Line 6	Line 5	Line 4	Line 3	Line 2	Line 1
246.000	59.756	190.587	318.930	31.982	309.521	352.879	122.103	180.336
247.000	29.416	116.413	224.915	59.681	101.318	444.448	312.926	212.640
248.000	42.435	81.683	226.510	359.802	33.529	286.371	194.874	344.410
249.000	43.383	139.762	191.387	378.340	6.491	217.737	100.059	325.513
250.000	197.171	179.172	377.215	217.168	48.483	224.626	90.271	280.683
251.000	280.683	184.114	408.191	103.368	71.063	87.541	347.461	297.750
252.000	181.245	217.310	131.005	39.836	37.378	45.898	519.389	132.222
253.000	141.020	116.621	182.807	159.953	95.385	57.320	359.436	114.649
254.000	126.189	174.934	137.037	306.304	45.963	113.516	377.215	181.895
255.000	99.000	113.927	48.215	102.878	88.537	85.388	233.388	213.063
256.000	215.748	18.278	58.126	109.036	91.652	46.291	59.012	128.695
257.000	167.859	41.684	166.238	224.626	100.639	62.243	64.316	107.830
258.000	147.980	100.155	356.696	302.431	187.271	55.292	169.740	73.029
259.000	322.213	185.295	218.878	304.112	231.182	134.227	320.310	273.934
260.000	365.499	306.135	346.742	277.137	116.101	210.955	241.868	200.027
261.000	178.011	175.062	157.642	66.580	24.654	133.000	91.282	101.901
262.000	192.457	89.539	42.561	35.917	13.027	51.001	188.064	25.524
263.000	172.391	103.663	92.207	31.385	13.413	101.221	134.227	7.224
264.000	148.685	166.861	83.261	115.893	99.673	99.962	36.149	8.807
265.000	145.176	154.267	82.558	227.965	118.400	15.504	111.774	68.723
266.000	165.989	60.880	137.490	283.439	117.666	62.091	83.173	177.239
267.000	342.264	29.364	29.312	386.645	146.691	180.207	40.324	226.220
268.000	185.295	44.728	10.359	246.391	59.087	151.760	42.247	81.422
269.000	288.662	268.846	42.372	323.427	58.126	405.465	198.801	154.867
270.000	219.735	343.694	55.868	175.445	193.529	279.230	333.571	257.419
271.000	204.557	13.626	115.063	185.163	139.876	214.615	247.301	42.372
272.000	76.872	74.188	76.534	190.853	275.373	106.333	227.965	20.095
273.000	80.034	512.812	72.535	197.849	205.386	101.707	158.856	78.317
274.000	192.992	452.008	92.022	75.608	34.259	72.288	262.241	51.693
275.000	230.889	106.134	125.864	92.207	59.532	44.214	379.467	97.469
276.000	119.769	7.565	59.384	92.857	36.907	90.271	275.693	192.992
277.000	34.827	5.432	67.449	37.496	116.517	81.422	130.563	349.804
278.000	110.960	51.416	73.194	110.350	149.982	68.244	163.388	99.577
279.000	82.909	112.899	124.246	272.020	122.851	93.043	145.991	132.333
280.000	168.235	125.756	215.464	237.237	31.223	93.696	140.447	265.691
281.000	501.079	210.255	316.865	376.091	69.767	128.586	113.207	226.801
282.000	474.439	284.577	173.533	342.264	181.635	167.609	85.745	67.132
283.000	206.216	174.042	78.146	346.922	62.930	227.674	193.529	49.361
284.000	94.914	30.793	189.522	175.445	70.090	332.515	179.560	209.276
285.000	155.468	58.126	216.315	108.131	277.941	189.655	164.500	279.553
286.000	124.676	173.152	317.209	100.349	85.745	55.868	146.224	340.659
287.000	115.478	70.738	227.674	143.437	111.061	87.632	174.297	233.241
288.000	99.769	78.317	187.403	204.281	74.354	150.692	272.817	319.965
289.000	147.863	158.248	172.644	282.140	297.584	173.787	231.329	220.738
290.000	163.635	138.623	50.726	306.811	512.812	164.872	201.120	202.766
291.000	237.535	121.890	61.409	309.691	99.481	234.126	221.312	248.212
292.000	77.126	178.527	73.359	214.898	59.161	359.985	111.163	283.926
293.000	162.034	364.577	153.310	162.280	22.959	319.792	239.323	267.582
294.000	187.403	274.253	194.470	83.437	118.400	341.729	315.321	191.387
295.000	141.938	224.192	58.495	76.703	248.060	361.268	174.934	183.199
296.000	147.042	139.192	95.856	15.809	272.020	153.788	172.518	190.054
